nome_inct,tipo_producao,periodo,n_tipos_producao
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Prefacio Posfacio,2020-2025,4
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Texto Em Jornal Ou Revista,2010-2015,16
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Texto Em Jornal Ou Revista,2015-2020,12
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Texto Em Jornal Ou Revista,2020-2025,51
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Trabalho Em Eventos,2010-2015,117
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Trabalho Em Eventos,2015-2020,79
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Trabalho Em Eventos,2020-2025,37
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Traducao,2010-2015,1
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Aceito Para Publicacao,2010-2015,1
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Aceito Para Publicacao,2015-2020,2
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Aceito Para Publicacao,2020-2025,19
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Publicado,2010-2015,1560
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Publicado,2015-2020,1665
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Publicado,2020-2025,1610
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Capitulo De Livro Publicado,2010-2015,208
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Capitulo De Livro Publicado,2015-2020,168
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Capitulo De Livro Publicado,2020-2025,124
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Livro Publicado Ou Organizado,2010-2015,33
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Livro Publicado Ou Organizado,2015-2020,24
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Livro Publicado Ou Organizado,2020-2025,36
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Outra Producao Bibliografica,2010-2015,10
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Outra Producao Bibliografica,2015-2020,5
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Outra Producao Bibliografica,2020-2025,8
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Prefacio Posfacio,2015-2020,2
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Prefacio Posfacio,2020-2025,1
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Texto Em Jornal Ou Revista,2010-2015,32
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Texto Em Jornal Ou Revista,2015-2020,26
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Texto Em Jornal Ou Revista,2020-2025,4
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Trabalho Em Eventos,2010-2015,2408
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Trabalho Em Eventos,2015-2020,1346
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Trabalho Em Eventos,2020-2025,745
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Traducao,2010-2015,14
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Traducao,2015-2020,1
INCT Analíticas Avançadas (INCT-AA),Artigo Aceito Para Publicacao,2010-2015,5
INCT Analíticas Avançadas (INCT-AA),Artigo Aceito Para Publicacao,2015-2020,2
INCT Analíticas Avançadas (INCT-AA),Artigo Aceito Para Publicacao,2020-2025,10
INCT Analíticas Avançadas (INCT-AA),Artigo Publicado,2010-2015,1395
INCT Analíticas Avançadas (INCT-AA),Artigo Publicado,2015-2020,1312
INCT Analíticas Avançadas (INCT-AA),Artigo Publicado,2020-2025,1006
INCT Analíticas Avançadas (INCT-AA),Capitulo De Livro Publicado,2010-2015,96
INCT Analíticas Avançadas (INCT-AA),Capitulo De Livro Publicado,2015-2020,89
INCT Analíticas Avançadas (INCT-AA),Capitulo De Livro Publicado,2020-2025,62
INCT Analíticas Avançadas (INCT-AA),Livro Publicado Ou Organizado,2010-2015,17
INCT Analíticas Avançadas (INCT-AA),Livro Publicado Ou Organizado,2015-2020,24
INCT Analíticas Avançadas (INCT-AA),Livro Publicado Ou Organizado,2020-2025,10
INCT Analíticas Avançadas (INCT-AA),Outra Producao Bibliografica,2010-2015,45
INCT Analíticas Avançadas (INCT-AA),Outra Producao Bibliografica,2015-2020,23
INCT Analíticas Avançadas (INCT-AA),Outra Producao Bibliografica,2020-2025,16
INCT Analíticas Avançadas (INCT-AA),Prefacio Posfacio,2010-2015,3
INCT Analíticas Avançadas (INCT-AA),Prefacio Posfacio,2015-2020,2
INCT Analíticas Avançadas (INCT-AA),Texto Em Jornal Ou Revista,2010-2015,34
INCT Analíticas Avançadas (INCT-AA),Texto Em Jornal Ou Revista,2015-2020,22
INCT Analíticas Avançadas (INCT-AA),Texto Em Jornal Ou Revista,2020-2025,9
INCT Analíticas Avançadas (INCT-AA),Trabalho Em Eventos,2010-2015,2443
INCT Analíticas Avançadas (INCT-AA),Trabalho Em Eventos,2015-2020,1301
INCT Analíticas Avançadas (INCT-AA),Trabalho Em Eventos,2020-2025,694
INCT Analíticas Avançadas (INCT-AA),Traducao,2010-2015,3
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Aceito Para Publicacao,2010-2015,21
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Aceito Para Publicacao,2015-2020,8
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Aceito Para Publicacao,2020-2025,18
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Publicado,2010-2015,1826
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Publicado,2015-2020,1743
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Publicado,2020-2025,1288
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Capitulo De Livro Publicado,2010-2015,227
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Capitulo De Livro Publicado,2015-2020,124
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Capitulo De Livro Publicado,2020-2025,82
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Livro Publicado Ou Organizado,2010-2015,31
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Livro Publicado Ou Organizado,2015-2020,18
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Livro Publicado Ou Organizado,2020-2025,17
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Outra Producao Bibliografica,2010-2015,77
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Outra Producao Bibliografica,2015-2020,33
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Outra Producao Bibliografica,2020-2025,26
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Texto Em Jornal Ou Revista,2010-2015,31
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Texto Em Jornal Ou Revista,2015-2020,11
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Texto Em Jornal Ou Revista,2020-2025,9
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Trabalho Em Eventos,2010-2015,2668
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Trabalho Em Eventos,2015-2020,880
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Trabalho Em Eventos,2020-2025,275
INCT Biologia Sintetica,Artigo Aceito Para Publicacao,2010-2015,7
INCT Biologia Sintetica,Artigo Aceito Para Publicacao,2015-2020,3
INCT Biologia Sintetica,Artigo Aceito Para Publicacao,2020-2025,14
INCT Biologia Sintetica,Artigo Publicado,2010-2015,1247
INCT Biologia Sintetica,Artigo Publicado,2015-2020,1420
INCT Biologia Sintetica,Artigo Publicado,2020-2025,1121
INCT Biologia Sintetica,Capitulo De Livro Publicado,2010-2015,141
INCT Biologia Sintetica,Capitulo De Livro Publicado,2015-2020,110
INCT Biologia Sintetica,Capitulo De Livro Publicado,2020-2025,71
INCT Biologia Sintetica,Livro Publicado Ou Organizado,2010-2015,15
INCT Biologia Sintetica,Livro Publicado Ou Organizado,2015-2020,8
INCT Biologia Sintetica,Livro Publicado Ou Organizado,2020-2025,6
INCT Biologia Sintetica,Outra Producao Bibliografica,2010-2015,56
INCT Biologia Sintetica,Outra Producao Bibliografica,2015-2020,43
INCT Biologia Sintetica,Outra Producao Bibliografica,2020-2025,35
INCT Biologia Sintetica,Prefacio Posfacio,2010-2015,1
INCT Biologia Sintetica,Prefacio Posfacio,2015-2020,1
INCT Biologia Sintetica,Texto Em Jornal Ou Revista,2010-2015,35
INCT Biologia Sintetica,Texto Em Jornal Ou Revista,2015-2020,18
INCT Biologia Sintetica,Texto Em Jornal Ou Revista,2020-2025,4
INCT Biologia Sintetica,Trabalho Em Eventos,2010-2015,1498
INCT Biologia Sintetica,Trabalho Em Eventos,2015-2020,643
INCT Biologia Sintetica,Trabalho Em Eventos,2020-2025,207
INCT Brasil Plural,Artigo Aceito Para Publicacao,2010-2015,2
INCT Brasil Plural,Artigo Aceito Para Publicacao,2015-2020,10
INCT Brasil Plural,Artigo Aceito Para Publicacao,2020-2025,24
INCT Brasil Plural,Artigo Publicado,2010-2015,526
INCT Brasil Plural,Artigo Publicado,2015-2020,606
INCT Brasil Plural,Artigo Publicado,2020-2025,400
INCT Brasil Plural,Capitulo De Livro Publicado,2010-2015,380
INCT Brasil Plural,Capitulo De Livro Publicado,2015-2020,403
INCT Brasil Plural,Capitulo De Livro Publicado,2020-2025,326
INCT Brasil Plural,Livro Publicado Ou Organizado,2010-2015,122
INCT Brasil Plural,Livro Publicado Ou Organizado,2015-2020,140
INCT Brasil Plural,Livro Publicado Ou Organizado,2020-2025,102
INCT Brasil Plural,Outra Producao Bibliografica,2010-2015,84
INCT Brasil Plural,Outra Producao Bibliografica,2015-2020,45
INCT Brasil Plural,Outra Producao Bibliografica,2020-2025,34
INCT Brasil Plural,Prefacio Posfacio,2010-2015,57
INCT Brasil Plural,Prefacio Posfacio,2015-2020,74
INCT Brasil Plural,Prefacio Posfacio,2020-2025,50
INCT Brasil Plural,Texto Em Jornal Ou Revista,2010-2015,51
INCT Brasil Plural,Texto Em Jornal Ou Revista,2015-2020,182
INCT Brasil Plural,Texto Em Jornal Ou Revista,2020-2025,47
INCT Brasil Plural,Trabalho Em Eventos,2010-2015,520
INCT Brasil Plural,Trabalho Em Eventos,2015-2020,272
INCT Brasil Plural,Trabalho Em Eventos,2020-2025,100
INCT Brasil Plural,Traducao,2010-2015,19
INCT Brasil Plural,Traducao,2015-2020,15
INCT Brasil Plural,Traducao,2020-2025,9
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Aceito Para Publicacao,2010-2015,1
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Aceito Para Publicacao,2015-2020,3
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Aceito Para Publicacao,2020-2025,1
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Publicado,2010-2015,189
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Publicado,2015-2020,156
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Publicado,2020-2025,54
INCT Centro de Química Medicinal de Acesso Aberto,Capitulo De Livro Publicado,2010-2015,16
INCT Centro de Química Medicinal de Acesso Aberto,Capitulo De Livro Publicado,2015-2020,11
INCT Centro de Química Medicinal de Acesso Aberto,Capitulo De Livro Publicado,2020-2025,31
INCT Centro de Química Medicinal de Acesso Aberto,Livro Publicado Ou Organizado,2010-2015,3
INCT Centro de Química Medicinal de Acesso Aberto,Livro Publicado Ou Organizado,2015-2020,2
INCT Centro de Química Medicinal de Acesso Aberto,Outra Producao Bibliografica,2010-2015,2
INCT Centro de Química Medicinal de Acesso Aberto,Outra Producao Bibliografica,2015-2020,1
INCT Centro de Química Medicinal de Acesso Aberto,Outra Producao Bibliografica,2020-2025,1
INCT Centro de Química Medicinal de Acesso Aberto,Texto Em Jornal Ou Revista,2010-2015,2
INCT Centro de Química Medicinal de Acesso Aberto,Texto Em Jornal Ou Revista,2015-2020,10
INCT Centro de Química Medicinal de Acesso Aberto,Trabalho Em Eventos,2010-2015,136
INCT Centro de Química Medicinal de Acesso Aberto,Trabalho Em Eventos,2015-2020,71
INCT Centro de Química Medicinal de Acesso Aberto,Trabalho Em Eventos,2020-2025,27
INCT Ciências Forenses,Artigo Aceito Para Publicacao,2010-2015,3
INCT Ciências Forenses,Artigo Aceito Para Publicacao,2015-2020,2
INCT Ciências Forenses,Artigo Aceito Para Publicacao,2020-2025,22
INCT Ciências Forenses,Artigo Publicado,2010-2015,866
INCT Ciências Forenses,Artigo Publicado,2015-2020,1190
INCT Ciências Forenses,Artigo Publicado,2020-2025,855
INCT Ciências Forenses,Capitulo De Livro Publicado,2010-2015,169
INCT Ciências Forenses,Capitulo De Livro Publicado,2015-2020,166
INCT Ciências Forenses,Capitulo De Livro Publicado,2020-2025,96
INCT Ciências Forenses,Livro Publicado Ou Organizado,2010-2015,51
INCT Ciências Forenses,Livro Publicado Ou Organizado,2015-2020,42
INCT Ciências Forenses,Livro Publicado Ou Organizado,2020-2025,29
INCT Ciências Forenses,Outra Producao Bibliografica,2010-2015,7
INCT Ciências Forenses,Outra Producao Bibliografica,2015-2020,10
INCT Ciências Forenses,Outra Producao Bibliografica,2020-2025,5
INCT Ciências Forenses,Prefacio Posfacio,2010-2015,34
INCT Ciências Forenses,Prefacio Posfacio,2015-2020,29
INCT Ciências Forenses,Prefacio Posfacio,2020-2025,33
INCT Ciências Forenses,Texto Em Jornal Ou Revista,2010-2015,23
INCT Ciências Forenses,Texto Em Jornal Ou Revista,2015-2020,21
INCT Ciências Forenses,Texto Em Jornal Ou Revista,2020-2025,12
INCT Ciências Forenses,Trabalho Em Eventos,2010-2015,1362
INCT Ciências Forenses,Trabalho Em Eventos,2015-2020,914
INCT Ciências Forenses,Trabalho Em Eventos,2020-2025,345
INCT Ciências Forenses,Traducao,2010-2015,8
INCT Ciências Forenses,Traducao,2015-2020,3
INCT Ciências Forenses,Traducao,2020-2025,2
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Aceito Para Publicacao,2010-2015,2
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Aceito Para Publicacao,2015-2020,6
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Aceito Para Publicacao,2020-2025,54
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Publicado,2010-2015,3749
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Publicado,2015-2020,4108
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Publicado,2020-2025,3281
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Capitulo De Livro Publicado,2010-2015,339
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Capitulo De Livro Publicado,2015-2020,319
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Capitulo De Livro Publicado,2020-2025,250
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Livro Publicado Ou Organizado,2010-2015,75
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Livro Publicado Ou Organizado,2015-2020,103
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Livro Publicado Ou Organizado,2020-2025,70
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Outra Producao Bibliografica,2010-2015,74
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Outra Producao Bibliografica,2015-2020,157
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Outra Producao Bibliografica,2020-2025,44
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Prefacio Posfacio,2010-2015,4
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Prefacio Posfacio,2015-2020,6
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Prefacio Posfacio,2020-2025,4
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Texto Em Jornal Ou Revista,2010-2015,133
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Texto Em Jornal Ou Revista,2015-2020,232
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Texto Em Jornal Ou Revista,2020-2025,52
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Trabalho Em Eventos,2010-2015,2428
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Trabalho Em Eventos,2015-2020,1320
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Trabalho Em Eventos,2020-2025,581
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Traducao,2010-2015,6
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Traducao,2015-2020,1
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Traducao,2020-2025,1
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Aceito Para Publicacao,2010-2015,6
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Aceito Para Publicacao,2015-2020,7
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Aceito Para Publicacao,2020-2025,3
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Publicado,2010-2015,1175
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Publicado,2015-2020,899
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Publicado,2020-2025,723
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Capitulo De Livro Publicado,2010-2015,83
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Capitulo De Livro Publicado,2015-2020,85
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Capitulo De Livro Publicado,2020-2025,62
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Livro Publicado Ou Organizado,2010-2015,21
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Livro Publicado Ou Organizado,2015-2020,11
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Livro Publicado Ou Organizado,2020-2025,16
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Outra Producao Bibliografica,2010-2015,19
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Outra Producao Bibliografica,2015-2020,8
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Outra Producao Bibliografica,2020-2025,1
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Prefacio Posfacio,2010-2015,4
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Prefacio Posfacio,2015-2020,6
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Prefacio Posfacio,2020-2025,1
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Texto Em Jornal Ou Revista,2010-2015,224
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Texto Em Jornal Ou Revista,2015-2020,32
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Texto Em Jornal Ou Revista,2020-2025,15
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Trabalho Em Eventos,2010-2015,645
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Trabalho Em Eventos,2015-2020,262
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Trabalho Em Eventos,2020-2025,209
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Aceito Para Publicacao,2015-2020,13
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Aceito Para Publicacao,2020-2025,7
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Publicado,2010-2015,702
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Publicado,2015-2020,947
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Publicado,2020-2025,775
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Capitulo De Livro Publicado,2010-2015,145
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Capitulo De Livro Publicado,2015-2020,108
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Capitulo De Livro Publicado,2020-2025,72
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Livro Publicado Ou Organizado,2010-2015,39
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Livro Publicado Ou Organizado,2015-2020,38
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Livro Publicado Ou Organizado,2020-2025,16
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Outra Producao Bibliografica,2010-2015,15
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Outra Producao Bibliografica,2015-2020,9
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Outra Producao Bibliografica,2020-2025,7
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Prefacio Posfacio,2015-2020,2
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Texto Em Jornal Ou Revista,2010-2015,20
