area,tipo_producao,periodo,n_tipos_producao
"Engenharias, Energias e Tecnologias da Informação",Traducao,2010-2015,26
"Engenharias, Energias e Tecnologias da Informação",Traducao,2015-2020,28
"Engenharias, Energias e Tecnologias da Informação",Traducao,2020-2025,24
Saúde,Artigo Aceito Para Publicacao,2010-2015,131
Saúde,Artigo Aceito Para Publicacao,2015-2020,152
Saúde,Artigo Aceito Para Publicacao,2020-2025,397
Saúde,Artigo Publicado,2010-2015,30542
Saúde,Artigo Publicado,2015-2020,32009
Saúde,Artigo Publicado,2020-2025,25304
Saúde,Capitulo De Livro Publicado,2010-2015,3395
Saúde,Capitulo De Livro Publicado,2015-2020,2842
Saúde,Capitulo De Livro Publicado,2020-2025,2491
Saúde,Livro Publicado Ou Organizado,2010-2015,500
Saúde,Livro Publicado Ou Organizado,2015-2020,433
Saúde,Livro Publicado Ou Organizado,2020-2025,488
Saúde,Outra Producao Bibliografica,2010-2015,462
Saúde,Outra Producao Bibliografica,2015-2020,346
Saúde,Outra Producao Bibliografica,2020-2025,300
Saúde,Prefacio Posfacio,2010-2015,38
Saúde,Prefacio Posfacio,2015-2020,24
Saúde,Prefacio Posfacio,2020-2025,22
Saúde,Texto Em Jornal Ou Revista,2010-2015,1403
Saúde,Texto Em Jornal Ou Revista,2015-2020,936
Saúde,Texto Em Jornal Ou Revista,2020-2025,661
Saúde,Trabalho Em Eventos,2010-2015,30308
Saúde,Trabalho Em Eventos,2015-2020,14101
Saúde,Trabalho Em Eventos,2020-2025,6892
Saúde,Traducao,2010-2015,45
Saúde,Traducao,2015-2020,20
Saúde,Traducao,2020-2025,7
